# number of LED, resolution of motor encoder 
32, 380 
229 101 58 
227 99 56 
224 99 55 
226 98 55 
227 97 54 
226 95 52 
223 92 49 
235 158 131 
236 158 129 
234 157 125 
233 154 121 
239 167 143 
230 151 124 
234 147 113 
240 169 149 
233 174 155 
224 149 123 
235 139 103 
230 136 100 
232 134 94 
229 128 89 
231 124 86 
230 119 81 
230 120 78 
233 117 76 
232 117 74 
232 115 70 
230 111 66 
231 108 64 
229 106 62 
229 106 62 
229 106 62 
228 103 59 
227 99 56 
224 99 55 
226 98 55 
225 97 54 
222 94 51 
223 92 49 
235 158 131 
236 158 129 
234 157 125 
233 154 121 
237 170 149 
228 151 124 
235 146 112 
240 167 145 
233 174 155 
240 173 150 
234 137 101 
232 136 100 
232 134 94 
231 128 89 
231 124 86 
230 121 83 
232 118 81 
232 118 77 
232 117 74 
232 115 70 
231 112 67 
232 109 65 
230 107 63 
229 106 62 
229 106 62 
229 104 60 
227 99 56 
227 99 56 
224 99 55 
225 97 54 
225 97 54 
224 94 51 
235 158 131 
237 159 130 
234 157 125 
233 154 121 
237 170 149 
226 151 125 
233 146 112 
239 165 141 
233 172 152 
254 200 175 
235 139 103 
233 137 101 
232 131 92 
230 129 90 
231 124 86 
234 125 87 
233 119 82 
229 119 77 
232 119 76 
232 115 70 
232 113 68 
230 111 66 
230 107 63 
229 106 62 
229 106 62 
227 104 60 
224 101 57 
227 99 56 
224 99 55 
225 97 54 
227 97 54 
224 96 53 
235 158 131 
237 159 130 
234 157 125 
235 153 122 
240 175 154 
224 149 127 
233 146 112 
234 158 135 
231 172 152 
241 194 172 
232 141 104 
230 134 98 
230 131 93 
230 129 91 
232 125 87 
230 123 85 
230 119 81 
227 119 77 
232 118 77 
231 115 74 
232 115 70 
232 113 68 
231 108 64 
230 107 63 
229 106 62 
229 106 62 
226 103 59 
227 99 56 
227 99 56 
224 99 55 
227 97 54 
224 96 53 
235 158 131 
237 159 130 
234 157 125 
235 153 122 
236 168 145 
224 150 126 
233 146 112 
231 154 127 
231 172 152 
253 209 186 
223 140 108 
231 135 99 
231 132 94 
231 130 92 
232 125 87 
230 123 85 
230 119 81 
228 120 78 
231 119 77 
231 115 74 
231 114 69 
229 112 67 
229 108 64 
229 106 62 
229 106 62 
229 106 62 
227 104 60 
224 101 57 
227 99 56 
224 99 55 
225 97 54 
224 96 53 
235 158 131 
237 159 130 
234 157 125 
236 154 123 
236 169 148 
223 155 132 
231 147 112 
232 154 125 
230 172 150 
242 199 178 
221 138 107 
233 136 102 
232 132 97 
231 130 92 
232 126 89 
230 123 85 
231 122 84 
229 121 80 
230 118 76 
229 113 72 
231 113 71 
229 111 69 
230 109 67 
232 109 65 
229 106 62 
229 106 62 
229 106 62 
226 103 59 
227 99 56 
227 99 56 
226 98 55 
225 97 54 
235 158 131 
236 158 129 
234 157 125 
235 155 124 
228 160 137 
228 163 142 
231 147 112 
231 151 122 
231 173 151 
239 196 175 
219 137 106 
233 136 102 
231 131 96 
231 130 92 
232 126 89 
231 124 86 
237 128 90 
230 119 79 
229 119 77 
227 115 73 
231 115 74 
229 114 71 
230 110 68 
227 110 65 
230 107 63 
229 106 62 
229 106 62 
228 103 58 
225 100 55 
228 100 57 
226 98 55 
225 97 54 
235 158 131 
236 158 129 
234 157 125 
235 155 124 
236 169 148 
228 169 149 
232 147 115 
230 149 116 
233 177 152 
250 204 186 
218 145 115 
238 139 107 
230 133 97 
229 130 92 
230 126 89 
231 126 87 
236 129 91 
230 121 83 
224 119 76 
230 118 76 
229 115 74 
231 115 74 
228 110 68 
230 110 68 
231 108 64 
229 106 62 
229 106 62 
229 104 59 
230 105 60 
227 102 58 
227 99 56 
226 98 55 
235 158 131 
235 157 128 
234 157 125 
234 154 123 
227 158 138 
228 169 149 
233 147 117 
233 152 117 
236 179 157 
242 199 182 
223 151 121 
235 138 105 
232 135 99 
229 130 92 
229 128 90 
231 126 87 
231 125 88 
231 122 84 
228 120 79 
230 118 76 
231 115 74 
232 113 74 
228 111 72 
227 113 66 
225 110 65 
231 108 64 
229 106 62 
230 105 60 
229 104 59 
226 101 57 
228 100 57 
227 99 56 
235 158 131 
235 157 128 
234 157 125 
234 154 123 
225 155 132 
234 181 161 
230 147 116 
231 148 116 
240 180 156 
245 212 197 
232 162 133 
232 139 106 
232 136 100 
228 131 93 
230 129 91 
232 126 89 
229 126 87 
229 122 84 
227 136 99 
229 119 77 
233 118 75 
232 116 81 
224 135 101 
231 110 70 
233 110 66 
230 107 63 
230 107 63 
229 106 62 
229 104 60 
228 103 59 
227 102 58 
228 100 57 
235 158 131 
235 157 128 
234 157 125 
232 155 123 
225 155 132 
240 189 173 
231 147 119 
235 147 117 
239 178 152 
244 215 200 
242 181 155 
232 140 105 
229 135 99 
229 132 94 
230 128 93 
229 127 92 
229 125 88 
230 126 89 
239 156 125 
226 119 82 
231 119 76 
237 124 91 
255 229 212 
208 138 115 
227 112 67 
229 108 66 
231 108 64 
229 106 62 
229 106 62 
229 104 60 
226 101 57 
225 100 56 
235 158 131 
235 157 128 
234 157 125 
232 155 123 
222 150 126 
241 192 176 
230 146 120 
235 146 119 
237 175 151 
243 212 197 
232 175 153 
231 141 107 
231 137 101 
233 133 98 
229 129 94 
224 127 94 
229 127 92 
236 133 94 
242 165 139 
226 153 123 
228 130 90 
223 132 105 
254 245 242 
248 245 241 
223 116 78 
229 112 67 
229 108 64 
230 107 63 
229 106 62 
230 105 61 
229 104 60 
229 104 60 
235 158 131 
235 157 128 
234 157 125 
230 155 123 
225 150 124 
241 192 176 
229 150 123 
234 147 120 
233 170 149 
243 209 193 
222 180 161 
230 141 107 
233 142 105 
